nozzle_r,p_launch,z_apoggee
0.5,0.01,0.0
0.5,1.01,0.0
0.5,2.01,0.0
0.5,3.01,0.0
0.5,4.01,0.0
0.5,5.01,0.0
0.5,6.01,0.0
0.5,7.01,0.0
0.5,8.01,0.0
0.5,9.01,0.0
0.5,10.01,0.0
0.5,11.01,0.0
0.5,12.01,0.0
0.5,13.01,0.0
0.5,14.01,0.0
0.5,15.01,0.0
0.5,16.009999999999998,0.0
0.5,17.009999999999998,0.0
0.5,18.009999999999998,0.0
0.5,19.009999999999998,0.0
0.5,20.009999999999998,0.0
0.5,21.009999999999998,0.0
0.5,22.009999999999998,0.0
0.5,23.009999999999998,0.0
0.5,24.009999999999998,0.0
0.5,25.009999999999998,0.0
0.5,26.009999999999998,0.0
0.5,27.009999999999998,0.0
0.5,28.009999999999998,0.0
0.5,29.009999999999998,0.0
0.5,30.009999999999998,0.0
0.5,31.009999999999998,0.0
0.5,32.01,0.0
0.5,33.01,0.0
0.5,34.01,0.0
0.5,35.01,0.0
0.5,36.01,0.0
0.5,37.01,0.0
0.5,38.01,0.0
0.5,39.01,0.0
0.5,40.01,0.0
0.5,41.01,0.0
0.5,42.01,0.0
0.5,43.01,0.0
0.5,44.01,0.0
0.5,45.01,0.0
0.5,46.01,0.0
0.5,47.01,0.0
0.5,48.01,0.0
0.5,49.01,0.0
0.5,50.01,0.0
0.5,51.01,0.0
0.5,52.01,0.0
0.5,53.01,0.0
0.5,54.01,0.0
0.5,55.01,0.0
0.5,56.01,0.0
0.5,57.01,0.0
0.5,58.01,0.0
0.5,59.01,0.0
0.5,60.01,0.0
0.5,61.01,0.0
0.5,62.01,0.0
0.5,63.01,0.0
0.5,64.00999999999999,0.0
0.5,65.00999999999999,0.0
0.5,66.00999999999999,0.0
0.5,67.00999999999999,0.0
0.5,68.00999999999999,0.0
0.5,69.00999999999999,0.0
0.5,70.00999999999999,0.0
0.5,71.00999999999999,0.0
0.5,72.00999999999999,0.0
0.5,73.00999999999999,0.0
0.5,74.00999999999999,0.0
0.5,75.00999999999999,0.0
0.5,76.00999999999999,0.0
0.5,77.00999999999999,0.0
0.5,78.00999999999999,0.0
0.5,79.00999999999999,0.0
0.5,80.00999999999999,0.0
0.5,81.00999999999999,0.0
0.5,82.00999999999999,0.0
0.5,83.00999999999999,0.0
0.5,84.00999999999999,0.0
0.5,85.00999999999999,0.0
0.5,86.00999999999999,0.0
0.5,87.00999999999999,0.0
0.5,88.00999999999999,0.0
0.5,89.00999999999999,0.0
0.5,90.00999999999999,0.0
0.5,91.00999999999999,0.0
0.5,92.00999999999999,0.0
0.5,93.00999999999999,0.0
0.5,94.00999999999999,0.0
0.5,95.00999999999999,0.0
0.5,96.00999999999999,0.0
0.5,97.00999999999999,0.0
0.5,98.00999999999999,0.0
0.5,99.00999999999999,0.0
0.5,100.00999999999999,0.0
0.6,0.01,0.0
0.6,1.01,0.0
0.6,2.01,0.0
0.6,3.01,0.0
0.6,4.01,0.0
0.6,5.01,0.0
0.6,6.01,0.0
0.6,7.01,0.0
0.6,8.01,0.0
0.6,9.01,0.0
0.6,10.01,0.0
0.6,11.01,0.0
0.6,12.01,0.0
0.6,13.01,0.0
0.6,14.01,0.0
0.6,15.01,0.0
0.6,16.009999999999998,0.0
0.6,17.009999999999998,0.0
0.6,18.009999999999998,0.0
0.6,19.009999999999998,0.0
0.6,20.009999999999998,0.0
0.6,21.009999999999998,0.0
0.6,22.009999999999998,0.0
0.6,23.009999999999998,0.0
0.6,24.009999999999998,0.0
0.6,25.009999999999998,0.0
0.6,26.009999999999998,0.0
0.6,27.009999999999998,0.0
0.6,28.009999999999998,0.0
0.6,29.009999999999998,0.0
0.6,30.009999999999998,0.0
0.6,31.009999999999998,0.0
0.6,32.01,0.0
0.6,33.01,0.0
0.6,34.01,0.0
0.6,35.01,0.0
0.6,36.01,0.0
0.6,37.01,0.0
0.6,38.01,0.0
0.6,39.01,0.0
0.6,40.01,0.0
0.6,41.01,0.0
0.6,42.01,0.0
0.6,43.01,0.0
0.6,44.01,0.0
0.6,45.01,0.0
0.6,46.01,0.0
0.6,47.01,0.0
0.6,48.01,0.0
0.6,49.01,0.0
0.6,50.01,0.0
0.6,51.01,0.0
0.6,52.01,0.0
0.6,53.01,0.0
0.6,54.01,0.0
0.6,55.01,0.0
0.6,56.01,0.0
0.6,57.01,0.0
0.6,58.01,0.0
0.6,59.01,0.0
0.6,60.01,0.0
0.6,61.01,0.0
0.6,62.01,0.0
0.6,63.01,0.0
0.6,64.00999999999999,0.0
0.6,65.00999999999999,0.0
0.6,66.00999999999999,0.0
0.6,67.00999999999999,0.0
0.6,68.00999999999999,0.0
0.6,69.00999999999999,0.0
0.6,70.00999999999999,0.0
0.6,71.00999999999999,0.0
0.6,72.00999999999999,0.0
0.6,73.00999999999999,0.0
0.6,74.00999999999999,0.0
0.6,75.00999999999999,0.0
0.6,76.00999999999999,0.0
0.6,77.00999999999999,0.0
0.6,78.00999999999999,0.0
0.6,79.00999999999999,0.0
0.6,80.00999999999999,0.0
0.6,81.00999999999999,0.0
0.6,82.00999999999999,0.0
0.6,83.00999999999999,0.0
0.6,84.00999999999999,0.0
0.6,85.00999999999999,0.0
0.6,86.00999999999999,0.0
0.6,87.00999999999999,0.0
0.6,88.00999999999999,0.0
0.6,89.00999999999999,0.0
0.6,90.00999999999999,0.0
0.6,91.00999999999999,0.0
0.6,92.00999999999999,0.0
0.6,93.00999999999999,0.0
0.6,94.00999999999999,0.0
0.6,95.00999999999999,0.0
0.6,96.00999999999999,0.0
0.6,97.00999999999999,0.0
0.6,98.00999999999999,0.0
0.6,99.00999999999999,0.0
0.6,100.00999999999999,0.0
0.7,0.01,0.0
0.7,1.01,0.0
0.7,2.01,0.0
0.7,3.01,0.0
0.7,4.01,0.0
0.7,5.01,0.0
0.7,6.01,0.0
0.7,7.01,0.0
0.7,8.01,0.0
0.7,9.01,0.0
0.7,10.01,0.0
0.7,11.01,0.0
0.7,12.01,0.0
0.7,13.01,0.0
0.7,14.01,0.0
0.7,15.01,0.0
0.7,16.009999999999998,0.0
0.7,17.009999999999998,0.0
0.7,18.009999999999998,0.0
0.7,19.009999999999998,0.0
0.7,20.009999999999998,0.0
0.7,21.009999999999998,0.0
0.7,22.009999999999998,0.0
0.7,23.009999999999998,0.0
0.7,24.009999999999998,0.0
0.7,25.009999999999998,0.0
0.7,26.009999999999998,0.0
0.7,27.009999999999998,0.0
0.7,28.009999999999998,0.0
0.7,29.009999999999998,0.0
0.7,30.009999999999998,0.0
0.7,31.009999999999998,0.0
0.7,32.01,0.0
0.7,33.01,0.0
0.7,34.01,0.0
0.7,35.01,0.0
0.7,36.01,0.0
0.7,37.01,0.0
0.7,38.01,0.0
0.7,39.01,0.0
0.7,40.01,0.0
0.7,41.01,0.0
0.7,42.01,0.0
0.7,43.01,0.0
0.7,44.01,0.0
0.7,45.01,0.0
0.7,46.01,0.0
0.7,47.01,0.0
0.7,48.01,0.0
0.7,49.01,0.0
0.7,50.01,0.0
0.7,51.01,0.0
0.7,52.01,0.0
0.7,53.01,0.0
0.7,54.01,0.0
0.7,55.01,0.0
0.7,56.01,0.0
0.7,57.01,0.0
0.7,58.01,0.0
0.7,59.01,0.0
0.7,60.01,0.0
0.7,61.01,0.0
0.7,62.01,0.0
0.7,63.01,0.0
0.7,64.00999999999999,0.0
0.7,65.00999999999999,0.0
0.7,66.00999999999999,0.0
0.7,67.00999999999999,0.0
0.7,68.00999999999999,0.0
0.7,69.00999999999999,0.0
0.7,70.00999999999999,0.0
0.7,71.00999999999999,0.0
0.7,72.00999999999999,0.0
0.7,73.00999999999999,0.0
0.7,74.00999999999999,0.0
0.7,75.00999999999999,0.0
0.7,76.00999999999999,0.0
0.7,77.00999999999999,0.0
0.7,78.00999999999999,0.0
0.7,79.00999999999999,0.0
0.7,80.00999999999999,0.0
0.7,81.00999999999999,0.0
0.7,82.00999999999999,0.0
0.7,83.00999999999999,0.0
0.7,84.00999999999999,0.0
0.7,85.00999999999999,0.0
0.7,86.00999999999999,0.0
0.7,87.00999999999999,0.0
0.7,88.00999999999999,0.0
0.7,89.00999999999999,0.0
0.7,90.00999999999999,0.0
0.7,91.00999999999999,0.0
0.7,92.00999999999999,0.0
0.7,93.00999999999999,0.0
0.7,94.00999999999999,0.0
0.7,95.00999999999999,0.0
0.7,96.00999999999999,0.0
0.7,97.00999999999999,0.0
0.7,98.00999999999999,0.0
0.7,99.00999999999999,0.0
0.7,100.00999999999999,0.0
0.7999999999999999,0.01,0.0
0.7999999999999999,1.01,0.0
0.7999999999999999,2.01,0.0
0.7999999999999999,3.01,0.0
0.7999999999999999,4.01,0.0
0.7999999999999999,5.01,0.0
0.7999999999999999,6.01,0.0
0.7999999999999999,7.01,0.0
0.7999999999999999,8.01,0.0
0.7999999999999999,9.01,0.0
0.7999999999999999,10.01,0.0
0.7999999999999999,11.01,0.0
0.7999999999999999,12.01,0.0
0.7999999999999999,13.01,0.0
0.7999999999999999,14.01,0.0
0.7999999999999999,15.01,0.0
0.7999999999999999,16.009999999999998,0.0
0.7999999999999999,17.009999999999998,0.0
0.7999999999999999,18.009999999999998,0.0
0.7999999999999999,19.009999999999998,0.0
0.7999999999999999,20.009999999999998,0.0
0.7999999999999999,21.009999999999998,0.0
0.7999999999999999,22.009999999999998,0.0
0.7999999999999999,23.009999999999998,0.0
0.7999999999999999,24.009999999999998,0.0
0.7999999999999999,25.009999999999998,0.0
0.7999999999999999,26.009999999999998,0.0
0.7999999999999999,27.009999999999998,0.0
0.7999999999999999,28.009999999999998,0.0
0.7999999999999999,29.009999999999998,0.0
0.7999999999999999,30.009999999999998,0.0
0.7999999999999999,31.009999999999998,0.0
0.7999999999999999,32.01,0.0
0.7999999999999999,33.01,0.0
0.7999999999999999,34.01,0.0
0.7999999999999999,35.01,0.0
0.7999999999999999,36.01,0.0
0.7999999999999999,37.01,0.0
0.7999999999999999,38.01,0.0
0.7999999999999999,39.01,0.0
0.7999999999999999,40.01,0.0
0.7999999999999999,41.01,0.0
0.7999999999999999,42.01,0.0
0.7999999999999999,43.01,0.0
0.7999999999999999,44.01,0.0
0.7999999999999999,45.01,0.0
0.7999999999999999,46.01,0.0
